latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
21.3819,107.594,305.6,2.3,1.5,2014-01-01,0304,Terra,MODIS,62,6.2,291.5,19.1,D,0
21.3796,107.6162,302,2.3,1.5,2014-01-01,0304,Terra,MODIS,47,6.2,291.5,11.5,D,0
21.0611,106.9194,302.5,2.6,1.5,2014-01-01,0304,Terra,MODIS,52,6.2,289.9,18.2,D,0
12.6719,107.8991,310.8,1.6,1.3,2014-01-01,0306,Terra,MODIS,65,6.2,295.5,9,D,0
13.1305,107.5137,323.8,1.8,1.3,2014-01-01,0306,Terra,MODIS,80,6.2,295.9,34.7,D,0
13.1331,107.5237,328.8,1.8,1.3,2014-01-01,0306,Terra,MODIS,84,6.2,295.6,49.4,D,0
13.1637,107.5344,340.7,1.8,1.3,2014-01-01,0306,Terra,MODIS,91,6.2,296.9,87.7,D,0
13.2568,107.8892,308.6,1.7,1.3,2014-01-01,0306,Terra,MODIS,57,6.2,294.4,8.9,D,0
13.2588,107.8738,310.1,1.7,1.3,2014-01-01,0306,Terra,MODIS,61,6.2,294.7,10.4,D,0
13.1285,107.53,318.5,1.8,1.3,2014-01-01,0306,Terra,MODIS,75,6.2,295,23.2,D,0
9.765,105.9249,306.4,1.5,1.2,2014-01-01,0609,Aqua,MODIS,59,6.2,279.8,8.2,D,0
10.8117,105.555,308.6,1.5,1.2,2014-01-01,0609,Aqua,MODIS,29,6.2,288.4,8.2,D,0
10.5429,105.1765,314.1,1.6,1.3,2014-01-01,0609,Aqua,MODIS,66,6.2,292.9,15,D,0
10.6875,105.2162,314.2,1.6,1.3,2014-01-01,0609,Aqua,MODIS,0,6.2,294.1,15.7,D,0
10.6781,106.497,309.9,1.3,1.1,2014-01-01,0609,Aqua,MODIS,36,6.2,284.3,6,D,0
11.5922,106.0556,326.1,1.4,1.2,2014-01-01,0610,Aqua,MODIS,80,6.2,294.7,28.5,D,0
13.1593,107.6669,321.9,1.1,1,2014-01-01,0610,Aqua,MODIS,65,6.2,301.4,11.9,D,0
12.4496,107.5596,327,1.1,1.1,2014-01-01,0610,Aqua,MODIS,81,6.2,299.8,21.6,D,0
12.8823,107.9198,319,1.1,1,2014-01-01,0610,Aqua,MODIS,73,6.2,300.1,8.5,D,0
12.4481,107.5496,316.7,1.1,1.1,2014-01-01,0610,Aqua,MODIS,67,6.2,300.3,9.3,D,0
13.4306,108.0131,316.5,1,1,2014-01-01,0610,Aqua,MODIS,67,6.2,299.5,8,D,0
13.061,107.8196,318.1,1.1,1,2014-01-01,0610,Aqua,MODIS,70,6.2,301.7,6.4,D,0
13.3896,107.9763,324.1,1.1,1,2014-01-01,0610,Aqua,MODIS,77,6.2,297.5,16.7,D,0
13.2514,107.7971,314.2,1.1,1,2014-01-01,0610,Aqua,MODIS,46,6.2,298.2,5.4,D,0
13.3814,107.6236,319.5,1.1,1,2014-01-01,0610,Aqua,MODIS,70,6.2,299.4,11.5,D,0
13.0625,107.8293,320.8,1.1,1,2014-01-01,0610,Aqua,MODIS,74,6.2,301.1,9.4,D,0
13.6385,107.5537,311.9,1.1,1,2014-01-01,0610,Aqua,MODIS,53,6.2,297.4,7.3,D,0
12.883,107.6081,313.3,1.1,1,2014-01-01,0610,Aqua,MODIS,62,6.2,297.6,7.4,D,0
13.3748,107.7051,326.9,1.1,1,2014-01-01,0610,Aqua,MODIS,80,6.2,299.6,19,D,0
13.3763,107.7149,321.1,1.1,1,2014-01-01,0610,Aqua,MODIS,72,6.2,298.7,12.5,D,0
14.3784,107.8119,317.5,1,1,2014-01-01,0610,Aqua,MODIS,74,6.2,302.5,8.6,D,0
13.5406,107.7521,312.1,1.1,1,2014-01-01,0610,Aqua,MODIS,53,6.2,298.6,5.4,D,0
17.8532,106.3954,310.7,1.1,1,2014-01-01,0611,Aqua,MODIS,70,6.2,293.7,7.6,D,0
18.5467,105.3678,302.8,1.2,1.1,2014-01-01,0611,Aqua,MODIS,49,6.2,292.7,4.2,D,0
18.1027,105.621,303.6,1.2,1.1,2014-01-01,0611,Aqua,MODIS,51,6.2,290.2,6.4,D,0
16.48,106.7714,308.3,1.1,1,2014-01-01,0611,Aqua,MODIS,61,6.2,293.8,6.5,D,0
16.4438,107.5035,304.1,1,1,2014-01-01,0611,Aqua,MODIS,53,6.2,293.1,4,D,0
16.6391,107.2759,314.1,1,1,2014-01-01,0611,Aqua,MODIS,68,6.2,294,10.6,D,0
18.1528,106.1932,303.2,1.1,1.1,2014-01-01,0611,Aqua,MODIS,52,6.2,291.6,3.7,D,0
18.5485,105.379,332.3,1.2,1.1,2014-01-01,0611,Aqua,MODIS,88,6.2,293.3,39.9,D,0
18.1291,106.165,304.4,1.1,1.1,2014-01-01,0611,Aqua,MODIS,41,6.2,291.2,4.4,D,0
18.1043,105.6317,313.8,1.2,1.1,2014-01-01,0611,Aqua,MODIS,73,6.2,291.6,15,D,0
16.5531,106.7124,307.1,1.1,1,2014-01-01,0611,Aqua,MODIS,57,6.2,293.1,6.8,D,0
18.3913,105.4879,328.7,1.2,1.1,2014-01-01,0611,Aqua,MODIS,85,6.2,295.2,32.2,D,0
18.3931,105.499,319.5,1.2,1.1,2014-01-01,0611,Aqua,MODIS,78,6.2,293.9,19.1,D,0
21.4094,105.709,314.9,1.1,1,2014-01-01,0612,Aqua,MODIS,74,6.2,291.4,14.2,D,0
21.9153,104.6888,319.4,1.2,1.1,2014-01-01,0612,Aqua,MODIS,0,6.2,293.5,18.9,D,0
21.5371,107.2339,308.7,1,1,2014-01-01,0612,Aqua,MODIS,63,6.2,297.1,6.6,D,0
21.546,107.2325,310.2,1,1,2014-01-01,0612,Aqua,MODIS,64,6.2,295.6,7.9,D,0
21.0099,103.1219,306.5,1.5,1.2,2014-01-01,0612,Aqua,MODIS,64,6.2,291.1,12.3,D,0
21.4724,106.7929,308.1,1,1,2014-01-01,0612,Aqua,MODIS,64,6.2,295.4,5.7,D,0
21.4516,106.7766,311.9,1,1,2014-01-01,0612,Aqua,MODIS,70,6.2,296.7,8.1,D,0
21.4078,105.6984,306.1,1.1,1,2014-01-01,0612,Aqua,MODIS,60,6.2,292.4,7.1,D,0
21.1994,107.5101,354.4,1,1,2014-01-01,0612,Aqua,MODIS,97,6.2,296.9,70.9,D,0
21.198,107.5006,331.1,1,1,2014-01-01,0612,Aqua,MODIS,86,6.2,295.2,28.7,D,0
21.1303,103.0696,307.7,1.5,1.2,2014-01-01,0612,Aqua,MODIS,64,6.2,292.9,12.7,D,0
21.1327,103.0832,315.4,1.5,1.2,2014-01-01,0612,Aqua,MODIS,76,6.2,294.2,22.9,D,0
19.6795,104.9444,308.3,1.2,1.1,2014-01-01,0612,Aqua,MODIS,67,6.2,295.1,10.2,D,0
