latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
21.2022,105.9945,312.4,1.6,1.2,2024-10-18,0306,Terra,MODIS,54,61.03,295,12.4,D,2
20.9282,106.2311,313.4,1.6,1.3,2024-10-18,0306,Terra,MODIS,49,61.03,295.1,18.4,D,2
21.1999,105.9883,312.8,1.6,1.2,2024-10-18,0306,Terra,MODIS,24,61.03,295.4,12.8,D,2
21.3352,105.3489,314.3,1.4,1.2,2024-10-18,0306,Terra,MODIS,67,61.03,296.1,10.2,D,2
22.3529,106.6257,308.5,1.6,1.3,2024-10-18,0306,Terra,MODIS,59,61.03,291.7,10,D,0
15.9349,108.0663,311.2,2.3,1.5,2024-10-18,0631,Aqua,MODIS,57,61.03,287.8,22.2,D,0
16.761,107.1065,311.6,2.6,1.5,2024-10-18,0631,Aqua,MODIS,59,61.03,287.7,20.7,D,0
16.7675,107.1099,310.5,2.6,1.5,2024-10-18,0631,Aqua,MODIS,62,61.03,287.6,18.7,D,0
16.3722,107.4962,318.3,2.5,1.5,2024-10-18,0631,Aqua,MODIS,60,61.03,288.6,45.2,D,0
16.3759,107.5026,325.2,2.5,1.5,2024-10-18,0631,Aqua,MODIS,68,61.03,288.3,70.6,D,0
19.5472,105.702,309.9,2.9,1.6,2024-10-18,0632,Aqua,MODIS,60,61.03,290.8,22.3,D,0
15.4243,108.6508,315,1.4,1.2,2024-10-19,0711,Aqua,MODIS,53,61.03,296.1,8.6,D,0
15.39,108.6295,311.7,1.4,1.2,2024-10-19,0711,Aqua,MODIS,58,61.03,294.2,7.5,D,0
15.707,108.0745,321.1,1.3,1.1,2024-10-19,0711,Aqua,MODIS,76,61.03,296.3,19.1,D,0
15.6602,108.0266,316.2,1.3,1.1,2024-10-19,0711,Aqua,MODIS,69,61.03,295.8,12.1,D,0
15.488,108.039,311.2,1.3,1.1,2024-10-19,0711,Aqua,MODIS,60,61.03,294.1,8,D,0
15.4454,108.1772,317.2,1.3,1.1,2024-10-19,0711,Aqua,MODIS,70,61.03,295.6,13.7,D,0
15.3889,108.1427,326.6,1.3,1.1,2024-10-19,0711,Aqua,MODIS,82,61.03,295,28.5,D,0
15.4876,108.0336,310.3,1.3,1.1,2024-10-19,0711,Aqua,MODIS,55,61.03,293.5,6.7,D,0
19.0183,105.0447,312.5,1,1,2024-10-19,0712,Aqua,MODIS,66,61.03,295.3,6.7,D,0
18.1383,106.2813,312.8,1.1,1.1,2024-10-19,0712,Aqua,MODIS,64,61.03,297,6,D,0
20.7835,103.707,309.9,1,1,2024-10-19,0712,Aqua,MODIS,59,61.03,296.5,5,D,0
17.9273,106.2208,313.4,1.1,1,2024-10-19,0712,Aqua,MODIS,67,61.03,293.4,8.7,D,0
22.3576,105.1366,311.7,1.1,1,2024-10-19,0713,Aqua,MODIS,60,61.03,297.6,5.8,D,0
22.5683,103.9925,310,1,1,2024-10-19,0713,Aqua,MODIS,61,61.03,295.7,4,D,0
22.717,103.8669,312.3,1,1,2024-10-19,0713,Aqua,MODIS,43,61.03,295.7,5.7,D,0
22.7156,103.8572,318.3,1,1,2024-10-19,0713,Aqua,MODIS,75,61.03,294.5,11.1,D,0
20.945,103.1062,326.5,1,1,2024-10-19,0713,Aqua,MODIS,82,61.03,296.4,21.7,D,0
21.3065,103.1739,310.4,1,1,2024-10-19,0713,Aqua,MODIS,60,61.03,297.3,5.9,D,0
22.0314,103.7113,311,1,1,2024-10-19,0713,Aqua,MODIS,62,61.03,297.1,5.6,D,0
20.0775,105.9128,308,1,1,2024-10-20,0248,Terra,MODIS,30,61.03,289.4,3.7,D,0
21.3387,107.0517,311.1,1,1,2024-10-20,0248,Terra,MODIS,49,61.03,296.6,5.6,D,0
21.4245,107.2193,311,1,1,2024-10-20,0248,Terra,MODIS,56,61.03,296.9,5,D,0
21.4514,106.4287,312.2,1,1,2024-10-20,0248,Terra,MODIS,53,61.03,296.3,5.8,D,0
21.423,107.2291,314.6,1,1,2024-10-20,0248,Terra,MODIS,66,61.03,297,7.9,D,0
21.3603,106.8472,322.8,1,1,2024-10-20,0248,Terra,MODIS,76,61.03,298.8,14.8,D,0
21.3588,106.857,323.8,1,1,2024-10-20,0248,Terra,MODIS,77,61.03,298.3,15.7,D,0
21.0865,106.4601,315.7,1,1,2024-10-20,0248,Terra,MODIS,60,61.03,297.6,7.1,D,0
11.0948,106.5421,316,1.2,1.1,2024-10-20,0250,Terra,MODIS,46,61.03,294.9,10,D,0
11.0931,106.5531,315.8,1.2,1.1,2024-10-20,0250,Terra,MODIS,54,61.03,293.9,9.6,D,0
11.8193,106.9583,314,1.3,1.1,2024-10-20,0250,Terra,MODIS,38,61.03,293.2,10.7,D,0
11.806,107.2447,310.1,1.3,1.1,2024-10-20,0250,Terra,MODIS,34,61.03,292.4,8.1,D,0
12.9146,108.9358,309.8,1.7,1.3,2024-10-20,0250,Terra,MODIS,43,61.03,285.3,13.7,D,0
12.9136,108.9415,307.8,1.7,1.3,2024-10-20,0250,Terra,MODIS,0,61.03,285.2,9.2,D,0
13.4013,107.859,309.2,1.4,1.2,2024-10-20,0250,Terra,MODIS,37,61.03,289.1,8,D,0
13.509,107.8955,314.1,1.4,1.2,2024-10-20,0250,Terra,MODIS,70,61.03,289,10.7,D,0
11.045,106.1136,315.1,1.2,1.1,2024-10-20,0251,Terra,MODIS,62,61.03,294.6,8.9,D,0
10.6134,106.6669,316.6,1.3,1.1,2024-10-20,0251,Terra,MODIS,49,61.03,294.2,10.8,D,0
10.3601,105.3777,312.4,1.1,1,2024-10-20,0251,Terra,MODIS,52,61.03,293.4,7.9,D,0
10.1634,105.9338,315.9,1.2,1.1,2024-10-20,0251,Terra,MODIS,70,61.03,294.2,9.4,D,2
