latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
11.26538,105.97781,321.05,1.02,1.01,2025-08-01,0739,Aqua,MODIS,74,6.1NRT,293,11.7,D
11.49046,106.07079,316.13,1.02,1.01,2025-08-01,0739,Aqua,MODIS,67,6.1NRT,290.42,9.5,D
10.57028,106.02986,310.88,1.01,1.01,2025-08-01,0739,Aqua,MODIS,46,6.1NRT,291.65,5.41,D
10.60086,105.27686,315.69,1,1,2025-08-01,0739,Aqua,MODIS,65,6.1NRT,290.47,7.6,D
10.68855,105.30225,321.37,1,1,2025-08-01,0739,Aqua,MODIS,65,6.1NRT,294.03,9.55,D
10.70803,105.19059,315.35,1,1,2025-08-01,0739,Aqua,MODIS,48,6.1NRT,294.42,6.24,D
10.73561,105.19544,323.73,1,1,2025-08-01,0739,Aqua,MODIS,77,6.1NRT,294.88,14.33,D
10.79314,105.14465,321,1,1,2025-08-01,0739,Aqua,MODIS,64,6.1NRT,295.83,11.25,D
11.01503,105.77069,327.44,1.01,1,2025-08-01,0739,Aqua,MODIS,81,6.1NRT,293.75,19.5,D
11.01375,105.76176,317.35,1.01,1,2025-08-01,0739,Aqua,MODIS,58,6.1NRT,291.6,8.51,D
15.91203,108.06194,314.34,1.42,1.18,2025-08-01,0741,Aqua,MODIS,62,6.1NRT,292.14,9.65,D
15.24893,108.15881,313.92,1.41,1.18,2025-08-01,0741,Aqua,MODIS,61,6.1NRT,289.69,11.02,D
12.81393,108.85136,309.88,1.29,1.13,2025-08-01,1342,Terra,MODIS,79,6.1NRT,277.7,13.76,N
13.34975,109.13044,307.33,1.22,1.1,2025-08-01,1342,Terra,MODIS,67,6.1NRT,293.53,5.93,N
13.34812,109.11967,309.27,1.23,1.1,2025-08-01,1342,Terra,MODIS,74,6.1NRT,293.22,7.65,N
13.57777,108.95707,332.09,1.24,1.11,2025-08-01,1342,Terra,MODIS,100,6.1NRT,293.78,39.5,N
13.57618,108.94637,306.85,1.25,1.11,2025-08-01,1342,Terra,MODIS,65,6.1NRT,293.13,6.36,N
